Iteration	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	simmap
0	{1,179.04}	{1,32.8642}	{4,32.8642}	{2,19.217}	{1,19.217}	{2,39.8681}	{2,3.93806}	{9,0.584474:2,3.35358}	{2,3.53335}	{2,3.53335}	{1,7.83991}	{1,7.83991}	{1,15.9361}	{2,9.90289}	{2,9.90289}	{1,23.4411}	{1,2.98276}	{1,2.98276}	{4,24.2002}	{4,10.888}	{4,1.91559}	{4,0.570962}	{2,0.570962}	{4,21.874}	{4,21.874}	{1,24.8397}	{2,16.1907}	{1,12.7414}	{4,8.55312}	{4,8.55312}	{4,17.6652}	{4,17.6652}	{4,16.7041}	{4,16.7041}	{9,2.96072:4,6.82703}	{4,9.78775}	{2,10.1915}	{4,3.51584}	{4,3.51584}	{3,35.7399}	{1,28.9931}	{2,2.22793}	{2,2.22793}	{4,29.7836}	{4,10.1521}	{4,10.1521}	{3,49.7536}	{4,44.5371}	{1,24.031}	{1,12.8442}	{1,12.8442}	{3,4.19627}	{3,3.55131}	{3,3.55131}	{1,5.72393}	{1,4.50184}	{1,4.50184}	{1,35.5201}	{1,10.3303}	{1,5.24318}	{1,5.24318}	{1,21.8595}	{1,21.8595}	{1,18.053}	{1,8.49822}	{1,8.49822}	{1,7.77553}	{1,7.77553}	{1,19.6727}	{1,7.87222}	{1,7.87222}	{1,12.0709}	{1,11.1932}	{1,10.5296}	{1,10.5296}	{1,0.663603}	{1,0.877656}	{1,0.769372}	{1,4.96802}	{1,6.83244}	{1,14.3608}	{1,3.54088}	{1,2.81819}	{1,6.7366}	{1,4.47116}	{1,0.664704}	{1,6.86892}	{1,5.0871}	{1,19.0628}	{1,4.64041}	{1,1.48658}	{1,20.0878}	{1,1.22209}	{1,49.884}	{1,55.7581}	{3,0.644953}	{3,28.2967}	{1,11.1868}	{1,8.46199}	{6,5.42185:3,6.62226}	{10,5.21652}	{10,6.85075}	{4,19.6314}	{4,26.8208}	{10,0.460353:3,20.3156}	{2,26.7652}	{5,5.94485:1,0.801955}	{6,41.6404}	{6,25.5834:1,8.40216}	{1,10.473}	{4,6.6757}	{9,7.5158}	{4,7.91958}	{9,19.2943}	{4,20.2975}	{9,44.0887:4,0.594048}	{4,64.0192}	{4,40.1546}	{8,52.5595:1,4.49572}	{4,4.18824}	{8,2.14986:4,1.29949}	{9,6.07833:4,2.57062}	{8,6.30666}	{4,9.27228}	{8,91.5235}	{9,1.34463}	{9,8.97245}	{9,13.3122}	{9,87.8604:4,10.6092}	{8,15.3784}	{1,135.065}	{8,10.5356:1,18.0873}	{2,13.5382}	{5,93.2361:1,49.9939}	{1,12.2231}	{1,9.19071}	{1,8.09623}	{1,172.149}	{1,20.016}	{2,11.39}	{2,10.9853}	{2,0.34524:5,24.5995}	{5,34.9793}	{5,29.6378:1,25.9926}	{5,31.5814:1,33.6613}	{8,70.6497:1,36.5762}	{1,38.9501}	{1,29.0607}	{1,0}	(((((((((((((Cyathea_pauciflora:{1,10.5296},Cyathea_frondosa:{1,10.5296}):{1,0.663603},Cyathea_meridensis:{1,11.1932}):{1,0.877656},Cyathea_obnoxia:{1,12.0709}):{1,0.769372},(Cyathea_patens:{1,7.87222},Cyathea_planadae:{1,7.87222}):{1,4.96802}):{1,6.83244},Cyathea_latevagans:{1,19.6727}):{1,14.3608},(((((Cyathea_petiolata:{1,7.77553},Cyathea_pinnula:{1,7.77553}):{1,3.54088},(Cyathea_pilosissima:{1,8.49822},Cyathea_punctata:{1,8.49822}):{1,2.81819}):{1,6.7366},Cyathea_squamulosa:{1,18.053}):{1,4.47116},(Cyathea_abbreviata:{1,21.8595},Cyathea_macrosora:{1,21.8595}):{1,0.664704}):{1,6.86892},((Cyathea_grandis:{1,5.24318},Cyathea_varians:{1,5.24318}):{1,5.0871},Cyathea_speciosa:{1,10.3303}):{1,19.0628}):{1,4.64041}):{1,1.48658},Cyathea_vaupensis:{1,35.5201}):{1,20.0878},((Cyathea_stipularis:{1,4.50184},Cyathea_trichiata:{1,4.50184}):{1,1.22209},Cyathea_estelae:{1,5.72393}):{1,49.884}):{1,55.7581},(((((((Alsophila_emilei:{3,3.55131},Alsophila_borbonica:{3,3.55131}):{3,0.644953},Alsophila_tanzaniana:{3,4.19627}):{3,28.2967},((Alsophila_abbottii:{1,12.8442},Alsophila_amintae:{1,12.8442}):{1,11.1868},Alsophila_tryoniana:{1,24.031}):{1,8.46199}):{6,5.42185:3,6.62226},Alsophila_smithii:{4,44.5371}):{10,5.21652},Alsophila_boivinii:{3,49.7536}):{10,6.85075},((Alsophila_exilis:{4,10.1521},Alsophila_everta:{4,10.1521}):{4,19.6314},Alsophila_costalisora:{4,29.7836}):{4,26.8208}):{10,0.460353:3,20.3156},(((Gymnosphaera_ogurae:{2,2.22793},Gymnosphaera_subdubia:{2,2.22793}):{2,26.7652},Gymnosphaera_salvinii:{1,28.9931}):{5,5.94485:1,0.801955},Gymnosphaera_boivinii:{3,35.7399}):{6,41.6404}):{6,25.5834:1,8.40216}):{1,10.473},(((((Sphaeropteris_cooperi:{4,3.51584},Sphaeropteris_robusta:{4,3.51584}):{4,6.6757},Sphaeropteris_raciborskii:{2,10.1915}):{9,7.5158},(Sphaeropteris_pilulifera:{4,9.78775},Sphaeropteris_felina:{9,2.96072:4,6.82703}):{4,7.91958}):{9,19.2943},(Sphaeropteris_procera:{4,16.7041},Sphaeropteris_nigricans:{4,16.7041}):{4,20.2975}):{9,44.0887:4,0.594048},(Sphaeropteris_auriculifera:{4,17.6652},Sphaeropteris_novaecaledoniae:{4,17.6652}):{4,64.0192}):{4,40.1546}):{8,52.5595:1,4.49572},((((((((Dicksonia_archboldii:{4,8.55312},Dicksonia_youngiae:{4,8.55312}):{4,4.18824},Dicksonia_berteroana:{1,12.7414}):{8,2.14986:4,1.29949},Dicksonia_blumei:{2,16.1907}):{9,6.07833:4,2.57062},Dicksonia_stuebelii:{1,24.8397}):{8,6.30666},(Dicksonia_thyrsopteroides:{4,21.874},Dicksonia_squarrosa:{4,21.874}):{4,9.27228}):{8,91.5235},((((Calochlaena_javanica:{2,0.570962},Calochlaena_villosa:{4,0.570962}):{9,1.34463},Calochlaena_dubia:{4,1.91559}):{9,8.97245},Calochlaena_novae-guineae:{4,10.888}):{9,13.3122},Calochlaena_straminea:{4,24.2002}):{9,87.8604:4,10.6092}):{8,15.3784},(Lophosoria_quadripinnata:{1,2.98276},Lophosoria_quesadae:{1,2.98276}):{1,135.065}):{8,10.5356:1,18.0873},(Cibotium_schiedei:{1,23.4411},(Cibotium_cumingii:{2,9.90289},Cibotium_arachnoideum:{2,9.90289}):{2,13.5382}):{5,93.2361:1,49.9939}):{1,12.2231}):{1,9.19071},(Metaxya_elongata:{1,15.9361},(Metaxya_lanosa:{1,7.83991},Metaxya_parkeri:{1,7.83991}):{1,8.09623}):{1,172.149}):{1,20.016},((((((Plagiogyria_adnata:{2,3.53335},Plagiogyria_yakumonticola:{2,3.53335}):{2,11.39},(Plagiogyria_egenolfioides:{9,0.584474:2,3.35358},Plagiogyria_euphlebia:{2,3.93806}):{2,10.9853}):{2,0.34524:5,24.5995},Plagiogyria_stenoptera:{2,39.8681}):{5,34.9793},(Culcita_coniifolia:{1,19.217},Culcita_macrocarpa:{2,19.217}):{5,29.6378:1,25.9926}):{5,31.5814:1,33.6613},(Loxsoma_cunninghamii:{4,32.8642},Loxsomopsis_pearcei:{1,32.8642}):{8,70.6497:1,36.5762}):{1,38.9501},Thyrsopteris_elegans:{1,179.04}):{1,29.0607});
10	{1,179.04}	{1,32.8642}	{4,32.8642}	{2,19.217}	{1,19.217}	{2,39.8681}	{2,3.93806}	{9,0.85319:2,3.08487}	{2,3.53335}	{2,3.53335}	{1,7.83991}	{1,7.83991}	{1,15.9361}	{2,9.90289}	{2,9.90289}	{1,23.4411}	{1,2.98276}	{1,2.98276}	{4,24.2002}	{4,10.888}	{4,1.91559}	{4,0.570962}	{2,0.570962}	{4,21.874}	{4,21.874}	{1,24.8397}	{2,16.1907}	{1,12.7414}	{4,8.55312}	{4,8.55312}	{4,17.6652}	{4,17.6652}	{4,16.7041}	{4,16.7041}	{9,7.49369:4,2.29406}	{4,9.78775}	{2,10.1915}	{4,3.51584}	{4,3.51584}	{3,1.63614:6,27.5038:1,6.59995}	{1,28.9931}	{2,2.22793}	{2,2.22793}	{4,29.7836}	{4,10.1521}	{4,10.1521}	{3,49.7536}	{4,44.5371}	{1,24.031}	{1,12.8442}	{1,12.8442}	{3,4.19627}	{3,3.55131}	{3,3.55131}	{1,5.72393}	{1,4.50184}	{1,4.50184}	{1,35.5201}	{1,10.3303}	{1,5.24318}	{1,5.24318}	{1,21.8595}	{1,21.8595}	{1,18.053}	{1,8.49822}	{1,8.49822}	{1,7.77553}	{1,7.77553}	{1,19.6727}	{1,7.87222}	{1,7.87222}	{1,12.0709}	{1,11.1932}	{1,10.5296}	{1,10.5296}	{1,0.663603}	{1,0.877656}	{1,0.769372}	{1,4.96802}	{1,6.83244}	{1,14.3608}	{1,3.54088}	{1,2.81819}	{1,6.7366}	{1,4.47116}	{1,0.664704}	{1,6.86892}	{1,5.0871}	{1,19.0628}	{1,4.64041}	{1,1.48658}	{1,20.0878}	{1,1.22209}	{1,49.884}	{1,55.7581}	{3,0.644953}	{3,28.2967}	{1,11.1868}	{1,8.46199}	{6,6.07948:3,5.96464}	{10,5.21652}	{10,2.79061:4,4.06013}	{4,19.6314}	{4,26.8208}	{4,20.776}	{2,26.7652}	{5,6.7468}	{5,26.7495:1,14.891}	{8,33.9856}	{8,10.473}	{4,6.6757}	{9,1.67092:4,5.84488}	{4,7.91958}	{4,19.2943}	{4,20.2975}	{4,44.6828}	{4,64.0192}	{4,40.1546}	{8,46.8679:1,10.1873}	{4,4.18824}	{8,3.06701:1,0.382333}	{5,4.85638:1,3.79257}	{1,6.30666}	{4,9.27228}	{8,91.5235}	{9,0.865046:4,0.479581}	{4,8.97245}	{4,13.3122}	{4,98.4697}	{8,10.3303:1,5.04803}	{1,16.6361:5,50.4163:1,68.0131}	{1,28.6229}	{2,13.5382}	{5,66.5699:1,76.6601}	{1,12.2231}	{1,9.19071}	{1,8.09623}	{1,172.149}	{1,20.016}	{2,11.39}	{2,10.9853}	{2,24.9447}	{2,34.9793}	{5,55.6304}	{5,65.2427}	{8,106.786:1,0.439581}	{5,21.0133:1,17.9368}	{1,29.0607}	{1,0}	(((((((((((((Cyathea_pauciflora:{1,10.5296},Cyathea_frondosa:{1,10.5296}):{1,0.663603},Cyathea_meridensis:{1,11.1932}):{1,0.877656},Cyathea_obnoxia:{1,12.0709}):{1,0.769372},(Cyathea_patens:{1,7.87222},Cyathea_planadae:{1,7.87222}):{1,4.96802}):{1,6.83244},Cyathea_latevagans:{1,19.6727}):{1,14.3608},(((((Cyathea_petiolata:{1,7.77553},Cyathea_pinnula:{1,7.77553}):{1,3.54088},(Cyathea_pilosissima:{1,8.49822},Cyathea_punctata:{1,8.49822}):{1,2.81819}):{1,6.7366},Cyathea_squamulosa:{1,18.053}):{1,4.47116},(Cyathea_abbreviata:{1,21.8595},Cyathea_macrosora:{1,21.8595}):{1,0.664704}):{1,6.86892},((Cyathea_grandis:{1,5.24318},Cyathea_varians:{1,5.24318}):{1,5.0871},Cyathea_speciosa:{1,10.3303}):{1,19.0628}):{1,4.64041}):{1,1.48658},Cyathea_vaupensis:{1,35.5201}):{1,20.0878},((Cyathea_stipularis:{1,4.50184},Cyathea_trichiata:{1,4.50184}):{1,1.22209},Cyathea_estelae:{1,5.72393}):{1,49.884}):{1,55.7581},(((((((Alsophila_emilei:{3,3.55131},Alsophila_borbonica:{3,3.55131}):{3,0.644953},Alsophila_tanzaniana:{3,4.19627}):{3,28.2967},((Alsophila_abbottii:{1,12.8442},Alsophila_amintae:{1,12.8442}):{1,11.1868},Alsophila_tryoniana:{1,24.031}):{1,8.46199}):{6,6.07948:3,5.96464},Alsophila_smithii:{4,44.5371}):{10,5.21652},Alsophila_boivinii:{3,49.7536}):{10,2.79061:4,4.06013},((Alsophila_exilis:{4,10.1521},Alsophila_everta:{4,10.1521}):{4,19.6314},Alsophila_costalisora:{4,29.7836}):{4,26.8208}):{4,20.776},(((Gymnosphaera_ogurae:{2,2.22793},Gymnosphaera_subdubia:{2,2.22793}):{2,26.7652},Gymnosphaera_salvinii:{1,28.9931}):{5,6.7468},Gymnosphaera_boivinii:{3,1.63614:6,27.5038:1,6.59995}):{5,26.7495:1,14.891}):{8,33.9856}):{8,10.473},(((((Sphaeropteris_cooperi:{4,3.51584},Sphaeropteris_robusta:{4,3.51584}):{4,6.6757},Sphaeropteris_raciborskii:{2,10.1915}):{9,1.67092:4,5.84488},(Sphaeropteris_pilulifera:{4,9.78775},Sphaeropteris_felina:{9,7.49369:4,2.29406}):{4,7.91958}):{4,19.2943},(Sphaeropteris_procera:{4,16.7041},Sphaeropteris_nigricans:{4,16.7041}):{4,20.2975}):{4,44.6828},(Sphaeropteris_auriculifera:{4,17.6652},Sphaeropteris_novaecaledoniae:{4,17.6652}):{4,64.0192}):{4,40.1546}):{8,46.8679:1,10.1873},((((((((Dicksonia_archboldii:{4,8.55312},Dicksonia_youngiae:{4,8.55312}):{4,4.18824},Dicksonia_berteroana:{1,12.7414}):{8,3.06701:1,0.382333},Dicksonia_blumei:{2,16.1907}):{5,4.85638:1,3.79257},Dicksonia_stuebelii:{1,24.8397}):{1,6.30666},(Dicksonia_thyrsopteroides:{4,21.874},Dicksonia_squarrosa:{4,21.874}):{4,9.27228}):{8,91.5235},((((Calochlaena_javanica:{2,0.570962},Calochlaena_villosa:{4,0.570962}):{9,0.865046:4,0.479581},Calochlaena_dubia:{4,1.91559}):{4,8.97245},Calochlaena_novae-guineae:{4,10.888}):{4,13.3122},Calochlaena_straminea:{4,24.2002}):{4,98.4697}):{8,10.3303:1,5.04803},(Lophosoria_quadripinnata:{1,2.98276},Lophosoria_quesadae:{1,2.98276}):{1,16.6361:5,50.4163:1,68.0131}):{1,28.6229},(Cibotium_schiedei:{1,23.4411},(Cibotium_cumingii:{2,9.90289},Cibotium_arachnoideum:{2,9.90289}):{2,13.5382}):{5,66.5699:1,76.6601}):{1,12.2231}):{1,9.19071},(Metaxya_elongata:{1,15.9361},(Metaxya_lanosa:{1,7.83991},Metaxya_parkeri:{1,7.83991}):{1,8.09623}):{1,172.149}):{1,20.016},((((((Plagiogyria_adnata:{2,3.53335},Plagiogyria_yakumonticola:{2,3.53335}):{2,11.39},(Plagiogyria_egenolfioides:{9,0.85319:2,3.08487},Plagiogyria_euphlebia:{2,3.93806}):{2,10.9853}):{2,24.9447},Plagiogyria_stenoptera:{2,39.8681}):{2,34.9793},(Culcita_coniifolia:{1,19.217},Culcita_macrocarpa:{2,19.217}):{5,55.6304}):{5,65.2427},(Loxsoma_cunninghamii:{4,32.8642},Loxsomopsis_pearcei:{1,32.8642}):{8,106.786:1,0.439581}):{5,21.0133:1,17.9368},Thyrsopteris_elegans:{1,179.04}):{1,29.0607});
20	{1,59.4207:6,51.6977:1,67.9218}	{1,32.8642}	{4,32.8642}	{2,19.217}	{1,19.217}	{2,39.7538:9,0.11434}	{2,3.93806}	{9,2.08532:2,1.85274}	{2,3.53335}	{2,3.53335}	{1,7.83991}	{1,7.83991}	{1,15.9361}	{2,9.90289}	{2,9.90289}	{1,23.4411}	{1,2.98276}	{1,2.98276}	{4,24.2002}	{4,10.888}	{4,1.91559}	{4,0.570962}	{2,0.570962}	{4,21.874}	{4,21.874}	{1,24.8397}	{2,16.1907}	{1,12.7414}	{4,8.55312}	{4,8.55312}	{4,17.6652}	{4,17.6652}	{4,16.7041}	{4,16.7041}	{9,6.21332:4,3.57442}	{4,9.78775}	{2,9.23165:9,0.598435:4,0.361446}	{4,3.51584}	{4,3.51584}	{3,35.7399}	{1,28.9931}	{2,2.22793}	{2,2.22793}	{4,29.7836}	{4,10.1521}	{4,10.1521}	{3,45.9309:10,3.82278}	{4,15.7751:10,24.3782:4,4.38382}	{1,24.031}	{1,12.8442}	{1,12.8442}	{3,4.19627}	{3,3.55131}	{3,3.55131}	{1,5.72393}	{1,4.50184}	{1,4.50184}	{1,35.5201}	{1,10.3303}	{1,5.24318}	{1,5.24318}	{1,21.8595}	{1,21.8595}	{1,18.053}	{1,8.49822}	{1,8.49822}	{1,7.77553}	{1,7.77553}	{1,19.6727}	{1,7.87222}	{1,7.87222}	{1,12.0709}	{1,11.1932}	{1,10.5296}	{1,10.5296}	{1,0.663603}	{1,0.877656}	{1,0.769372}	{1,4.96802}	{1,6.83244}	{1,14.3608}	{1,3.54088}	{1,2.81819}	{1,6.7366}	{1,4.47116}	{1,0.664704}	{1,6.86892}	{1,5.0871}	{1,19.0628}	{1,4.64041}	{1,1.48658}	{1,20.0878}	{1,1.22209}	{1,49.884}	{1,55.7581}	{3,0.644953}	{3,9.49153:10,3.89646:4,14.9088}	{1,11.1868}	{1,8.46199}	{8,0.889778:4,11.1543}	{4,5.21652}	{10,0.39382:4,6.45693}	{4,19.6314}	{4,26.8208}	{4,20.776}	{2,5.62247:5,5.24274:1,15.9}	{1,6.7468}	{6,11.5649:1,30.0756}	{8,5.68876:1,28.2968}	{1,10.473}	{4,6.6757}	{4,7.5158}	{4,7.91958}	{4,19.2943}	{4,20.2975}	{4,44.6828}	{4,64.0192}	{4,40.1546}	{8,4.1536:1,52.9016}	{4,4.18824}	{8,2.40583:1,1.04352}	{5,8.26264:1,0.386314}	{1,6.30666}	{4,9.27228}	{8,9.66385:1,39.8057:8,14.5332:4,27.5207}	{9,0.130049:4,1.21458}	{4,8.97245}	{4,13.3122}	{4,98.4697}	{4,15.3784}	{1,25.5238:8,109.542}	{8,2.22424:1,26.3986}	{2,13.5382}	{5,60.7961:1,82.4339}	{1,12.2231}	{1,9.19071}	{1,8.09623}	{1,16.2975:5,46.7456:1,22.2638:5,53.8882:1,32.9536}	{1,20.016}	{2,11.39}	{2,10.9853}	{2,24.9447}	{9,6.43776:2,28.5415}	{5,6.9787:2,21.6895:5,26.9622}	{5,45.0058:1,20.2369}	{8,90.7345:1,16.4914}	{1,2.26949:6,32.096:1,4.58466}	{1,29.0607}	{1,0}	(((((((((((((Cyathea_pauciflora:{1,10.5296},Cyathea_frondosa:{1,10.5296}):{1,0.663603},Cyathea_meridensis:{1,11.1932}):{1,0.877656},Cyathea_obnoxia:{1,12.0709}):{1,0.769372},(Cyathea_patens:{1,7.87222},Cyathea_planadae:{1,7.87222}):{1,4.96802}):{1,6.83244},Cyathea_latevagans:{1,19.6727}):{1,14.3608},(((((Cyathea_petiolata:{1,7.77553},Cyathea_pinnula:{1,7.77553}):{1,3.54088},(Cyathea_pilosissima:{1,8.49822},Cyathea_punctata:{1,8.49822}):{1,2.81819}):{1,6.7366},Cyathea_squamulosa:{1,18.053}):{1,4.47116},(Cyathea_abbreviata:{1,21.8595},Cyathea_macrosora:{1,21.8595}):{1,0.664704}):{1,6.86892},((Cyathea_grandis:{1,5.24318},Cyathea_varians:{1,5.24318}):{1,5.0871},Cyathea_speciosa:{1,10.3303}):{1,19.0628}):{1,4.64041}):{1,1.48658},Cyathea_vaupensis:{1,35.5201}):{1,20.0878},((Cyathea_stipularis:{1,4.50184},Cyathea_trichiata:{1,4.50184}):{1,1.22209},Cyathea_estelae:{1,5.72393}):{1,49.884}):{1,55.7581},(((((((Alsophila_emilei:{3,3.55131},Alsophila_borbonica:{3,3.55131}):{3,0.644953},Alsophila_tanzaniana:{3,4.19627}):{3,9.49153:10,3.89646:4,14.9088},((Alsophila_abbottii:{1,12.8442},Alsophila_amintae:{1,12.8442}):{1,11.1868},Alsophila_tryoniana:{1,24.031}):{1,8.46199}):{8,0.889778:4,11.1543},Alsophila_smithii:{4,15.7751:10,24.3782:4,4.38382}):{4,5.21652},Alsophila_boivinii:{3,45.9309:10,3.82278}):{10,0.39382:4,6.45693},((Alsophila_exilis:{4,10.1521},Alsophila_everta:{4,10.1521}):{4,19.6314},Alsophila_costalisora:{4,29.7836}):{4,26.8208}):{4,20.776},(((Gymnosphaera_ogurae:{2,2.22793},Gymnosphaera_subdubia:{2,2.22793}):{2,5.62247:5,5.24274:1,15.9},Gymnosphaera_salvinii:{1,28.9931}):{1,6.7468},Gymnosphaera_boivinii:{3,35.7399}):{6,11.5649:1,30.0756}):{8,5.68876:1,28.2968}):{1,10.473},(((((Sphaeropteris_cooperi:{4,3.51584},Sphaeropteris_robusta:{4,3.51584}):{4,6.6757},Sphaeropteris_raciborskii:{2,9.23165:9,0.598435:4,0.361446}):{4,7.5158},(Sphaeropteris_pilulifera:{4,9.78775},Sphaeropteris_felina:{9,6.21332:4,3.57442}):{4,7.91958}):{4,19.2943},(Sphaeropteris_procera:{4,16.7041},Sphaeropteris_nigricans:{4,16.7041}):{4,20.2975}):{4,44.6828},(Sphaeropteris_auriculifera:{4,17.6652},Sphaeropteris_novaecaledoniae:{4,17.6652}):{4,64.0192}):{4,40.1546}):{8,4.1536:1,52.9016},((((((((Dicksonia_archboldii:{4,8.55312},Dicksonia_youngiae:{4,8.55312}):{4,4.18824},Dicksonia_berteroana:{1,12.7414}):{8,2.40583:1,1.04352},Dicksonia_blumei:{2,16.1907}):{5,8.26264:1,0.386314},Dicksonia_stuebelii:{1,24.8397}):{1,6.30666},(Dicksonia_thyrsopteroides:{4,21.874},Dicksonia_squarrosa:{4,21.874}):{4,9.27228}):{8,9.66385:1,39.8057:8,14.5332:4,27.5207},((((Calochlaena_javanica:{2,0.570962},Calochlaena_villosa:{4,0.570962}):{9,0.130049:4,1.21458},Calochlaena_dubia:{4,1.91559}):{4,8.97245},Calochlaena_novae-guineae:{4,10.888}):{4,13.3122},Calochlaena_straminea:{4,24.2002}):{4,98.4697}):{4,15.3784},(Lophosoria_quadripinnata:{1,2.98276},Lophosoria_quesadae:{1,2.98276}):{1,25.5238:8,109.542}):{8,2.22424:1,26.3986},(Cibotium_schiedei:{1,23.4411},(Cibotium_cumingii:{2,9.90289},Cibotium_arachnoideum:{2,9.90289}):{2,13.5382}):{5,60.7961:1,82.4339}):{1,12.2231}):{1,9.19071},(Metaxya_elongata:{1,15.9361},(Metaxya_lanosa:{1,7.83991},Metaxya_parkeri:{1,7.83991}):{1,8.09623}):{1,16.2975:5,46.7456:1,22.2638:5,53.8882:1,32.9536}):{1,20.016},((((((Plagiogyria_adnata:{2,3.53335},Plagiogyria_yakumonticola:{2,3.53335}):{2,11.39},(Plagiogyria_egenolfioides:{9,2.08532:2,1.85274},Plagiogyria_euphlebia:{2,3.93806}):{2,10.9853}):{2,24.9447},Plagiogyria_stenoptera:{2,39.7538:9,0.11434}):{9,6.43776:2,28.5415},(Culcita_coniifolia:{1,19.217},Culcita_macrocarpa:{2,19.217}):{5,6.9787:2,21.6895:5,26.9622}):{5,45.0058:1,20.2369},(Loxsoma_cunninghamii:{4,32.8642},Loxsomopsis_pearcei:{1,32.8642}):{8,90.7345:1,16.4914}):{1,2.26949:6,32.096:1,4.58466},Thyrsopteris_elegans:{1,59.4207:6,51.6977:1,67.9218}):{1,29.0607});
